georgian,english
დღეს დიდი დღეა ჩვენი ტომისთვის.,Today is a big day for our tribe.
წელიწადი მთავრდება.,The year ends.
შემომეჭამა.,I accidentally ate the whole thing.
შემომაკვდა.,I accidentally killed.
მოდი რაღაც ვცადოთ!,Let's try something.
მალე დავბრუნდები.,I will be back soon.
უბრალოდ არ ვიცი რა უნდა ვთქვა.,I just don't know what to say.
ის არის ახალი სურათი?,Is it a recent picture?
ის ახალი სურათი არის?,Is it a recent picture?
ის ახალი სურათია?,Is it a recent picture?
ჩემს გზაში ხარ.,You are in my way.
მე წასვლას ვაპირებ.,I'm going to go.
წასვლას ვაპირებ.,I'm going to go.
ვერ ვცხოვრობ ეგეთ ცხოვრებას.,I can't live that kind of life.
"ადამიანთა უმეტესობა ფიქრობს, რომ მე ვარ გიჟი.",Most people think I'm crazy.
რატომ თხოვ?,Why do you ask?
რამდენ ხანს დარჩი?,How long did you stay?
რამდენ ხანს დარჩით?,How long did you stay?
ის დამაინტრიგებელია.,That is intriguing.
არ მომწონდა.,I didn't like it.
ბინდი მომწონს.,I like candlelight.
რა უპასუხე?,What did you answer?
შენ რა უპასუხე?,What did you answer?
სადაა პრობლემა?,Where is the problem?
მე შენ მიყვარხარ.,I love you.
მე ვაინტერესებ.,I am curious.
ქიმია მძულს.,I hate chemistry.
მე არ ვიცი იაპონურად ლაპარაკი.,I don't speak Japanese.
არავის არ ესმის ჩემი.,Nobody understands me.
მის გარეშე ცხოვრებას შევეჩვიე.,I learned to live without her.
აზრი აღარ აქვს ამაზე ფიქრს.,It's useless to keep on thinking any more.
"კვერცხები სად არიან, გეთაყვა?","Where are the eggs, please?"
იტალიურად ლაპარაკობ?,Do you speak Italian?
იტალიურად ლაპარაკობთ?,Do you speak Italian?
ჩემი სახელია ჯეკი.,My name is Jack.
ცივა.,It's cold.
არ მინდა სკოლაში წასვლა.,I don't want to go to school.
ამბობ რომ ჩემი ცხოვრება საფრთხეშია?,Are you saying my life is in danger?
ნუ დაგვივიწყებთ!,Don't forget about us!
ნუ დაგვივიწყებ!,Don't forget about us!
თქვენ აქ ცხოვრობთ?,Do you live here?
"უკეთესი იქნებოდა, რომ არ წასულიყავი.",You'd better not go.
რამდენი ხანია ხართ იაპონიაში?,How long have you been in Japan?
და შენ?,How about you?
შენ საქმეს მიხედე!,Mind your own business!
აი შენი ჩანთა.,Here is your bag.
არ გეთანხმები.,I don't agree with you.
მწვანე გიხდება.,Green suits you.
მინდიხარ.,I want you.
მჭირდები.,I need you.
"შენ, ჩუმად!","You, be quiet!"
დათვს შეუძლია ხეზე ცოცვა.,A bear can climb a tree.
დათვმა არცერთი ქვა არ დატოვა ამოუტრიალებელი მსუქალი ხოჭოების ძებნისას.,The bear left no stone unturned in his search for fat bugs under the rocks.
"მისი მშობლების აზრით, ის საკუთარ ფულს სულელ გოგოს ახარჯავდა.",His parents' view was that he was wasting his earnings on a silly girl.
მინდა რომ სამაგიერო გადაგიხადოთ თქვენი გულკეთილობისთვის უახლოეს მომავალში.,I would like to repay your kindness in the near future.
გაგიჟდი?,Are you mad?
გიჟი ხარ?,Are you mad?
თევზები ზღვაში ცხოვრობენ.,Fish live in the sea.
გეჩქარებათ?,Are you in a hurry?
კლიენტი არ მოვიდა.,The customer did not come.
მოწევა თავის მოკვლაა.,Smoking means suicide.
მოწევა ბევრ ზიანს აყენებს.,Smoking will do you a lot of harm.
თქვენ ექიმები ხართ.,You are doctors.
შენ ეცადე.,You tried.
შენ სპილოები მოგწონს.,You like elephants.
შენ ჩაის სვამ.,You drink tea.
შენ ინგლისურს სწავლობ.,You study English.
გაგიჟდი?,Are you crazy?
მცივა. შეიძლება ფანჯარა დავხურო?,I'm cold. May I close the window?
სკოლაში წასვლის დროა.,It's time to go to school.
გახსოვს?,Do you remember?
გახსოვთ?,Do you remember?
გადი.,Get out.
შეხვედრის შემდეგ ის პირდაპირ მის მაგიდისკენ წავიდა.,After the meeting she headed straight to her desk.
"ჩვენ შევთანხმდით, რომ სამსახურში თავს შევიკავებდით მოწევისაგან.",We agreed to refrain from smoking while we are at work.
მე საზაფხულო არდადეგების დროს ფოსტაში ვმუშაობდი.,I worked in a post office during the summer vacation.
კაკოგავაში ვცხოვრობ.,I live in Kakogawa.
მე მოგცემ საჩუქარს.,I'll give you a present.
"სახლში თუ დამაგვიანდება წასვლა, ნუ დამელოდები.","If I should be late getting home, please don't wait up for me."
ტაქსით სადგურამდე 20 წუთში მიხვალთ.,It will take me 20 minutes to get to the station by taxi.
ინგლისურად ვილაპარაკოთ.,Let's speak English.
იტყუები.,You are lying.
იტყუებით.,You are lying.
დღეში $500 ვხარჯავ.,I've spent $500 a day.
რამდენი წიგნი შემიძლია გავიტანო ერთ დროს?,How many books can I take out at one time?
მტკივა კუჭი.,My stomach hurts.
ლომი ჯუნგლის მეფეა.,The lion is the king of the jungle.
კარგად ხარ?,You all right?
"დიახ, რასაკვირველია.","Yes, of course."
უეჭველად!,Definitely!
შეგიძლია წახვიდე თუ გინდა.,You can go if you want to.
"თუ იჩქარებ, დაეწევი.","If you hurry, you will overtake him."
აქ ხარ?,Are you there?
"არა, მადლობა.","No, thank you."
ერთი ნაბიჯი და მკვდარი კაცი ხარ.,"One more step, and you'll be a dead man."
მერიმ(Mary) უკვე დაიწყო.,Mary has already started.
ამაზრზენი ხარ!,You're disgusting!
ყველამ გაიმეორეთ ჩემს შემდეგ.,Read after me all together.
ფუტკარები თაფლს აკეთებენ.,Bees make honey.
შეხვედრამდე.,See you again.
კიდევ გნახავთ.,See you again.
დილაობით მხოლოდ ტოსტს და ყავას მივირთმევ.,I only have toast and coffee in the morning.
ავად ხარ!,You're sick!
გთხოვთ გააგრძელოთ ეს ვიზა.,Please extend this visa.
კარაქი დამზადებულია რძისგან.,Butter is made from milk.
"დიახ, მე საპოროდან ვარ.","Yes, I am from Sapporo."
თომი არ ხარ?,Aren't you Tom?
თომი არ ხართ?,Aren't you Tom?
ეს რა ეღირება?,How much will it cost?
სად რჩები?,Where are you staying?
სად გინდა წასვლა?,Where do you want to go?
სად გინდათ წასვლა?,Where do you want to go?
ტოსტერის შეკეთება მომიხდა.,I had to fix the toaster.
შეგიძლია მოხვიდე?,Can you come?
ტუალეტის ქაღალდი არ არის.,There's no toilet paper.
მოდი როგორც კი შეგიძლია.,Come as soon as you can.
50 კაცამდე მოვიდა.,No more than 50 people came.
ეს ყველამ იცის.,Anybody knows it.
ის მზესუმზირაა.,It's a sunflower.
აი რატომ ინგლისურს სწავლობენ.,That is what they study English for.
აი რატომ სწავლობენ ინგლისურს.,That is what they study English for.
იმის გამო სწავლობენ ინგლისურს.,That is what they study English for.
იმის გამო ინგლისურს სწავლობენ.,That is what they study English for.
მატარებელი დროზე მოვიდა.,The train arrived on schedule.
ამ წიგნმა ძალიან დამაინტერესა.,I found the book very interesting.
შეუძლებელია კონფლიქტის გადაჭრა.,It is impossible to resolve the conflict.
ახალი მაღაზია მომავალ კვირას გაიხსნება.,The new store is going to open next week.
სტუდენტი სოციოლოგიას სწავლობს.,The student is working at sociology.
ვინ იყო ექსპედიციის წინამძღოლი?,Who was the leader of the expedition?
ეს შენ თქვი!,You said it!
ყველა ადამიანი ჰაერს სუნთქავს.,All people breathe air.
სიეტლში წასვლა მინდა.,I want to go to Seattle.
გნებავთ რომ შეუკვეთოთ?,Would you like to order?
კომპიუტერს თუ გამოიყენებ ინფორმაციის შენახვას შეძლებ.,"If you use a computer, you can retain information."
სამი ცალი მომეცით გეთაყვა.,I'd like three of these.
ყოველთვის ვუყურებ ამ სურათს მორყვნით.,I always view this photo with disgust.
აი შენი გასაღები.,Here is your key.
აი შენი ძაღლი. სად არის ჩემი?,Here is your dog. Where is mine?
აი შენი ძაღლი.,Here is your dog.
კენი თამაშობს ტენისს?,Does Ken play tennis?
ჩაი და ყავა გეხმარება დღის დაწყებაში.,Tea and coffee helps to start the day.
შენ ყოველთვის მღერი.,You always sing.
შენ დარეკე?,You called?
კეთილი იყოს შენი შინ დაბრუნება.,Welcome home.
მე მივდივარ.,I am coming.
ინგლისიდან ვარ.,I come from England.
მე ინგლისიდან ვარ.,I come from England.
ინგლისელი ვარ.,I come from England.
მე ვარ ინგლისელი.,I come from England.
ესენი ჩემი დის წიგნები არიან.,Those are my sister's books.
ეს წიგნები ჩემი დის არიან.,Those are my sister's books.
ეს ჩემი ძაღლია.,This is my dog.
ამერიკაში ხშირად ჩინელში ვეშლებოდი.,In the U.S. I was often taken to be Chinese.
მე შენს მხარეს ვარ.,I'm on your side.
იაპონურად ლაპარაკობ?,Do you speak Japanese?
იაპონურად ლაპარაკობთ?,Do you speak Japanese?
ამერიკელი ხარ თუ ფრანგი?,Are you American or French?
აი შენი წიგნი.,Here is your book.
რა არის შენი ცხოვრების მიზანი?,What is your ultimate goal in your life?
ძალიან გიყვართ ერთმანეთი?,Do you love each other very much?
ორი კვირის წინ მე პირველად დისნეილენდს ვიყავი.,"Two weeks ago, I visited Disneyland for the first time."
შემიძლია ის გავაკეთო ერთ კვირაში.,I can do it in a week.
მე ცხრამეტი წლის ვარ.,I am 19 years old.
„სად ცხოვრობ შენ?“ „მე ტოკიოში ვცხოვრობ.“,"""Where do you live?"" ""I live in Tokyo."""
კეთილი იყოს თქვენი მობრძანება!,Welcome.
გამარჯობა!,Welcome.
"პოლიციამ დაუყოვნებლივი ქმედება მიიღო, აჯანყებასთან გასამკლავებლად.",The police took immediate action to deal with the riot.
არ ინერვიულო შედეგებზე.,Don't worry about the results.
სახლიდან გასხვლა არ მინდა ამ საღამოს.,I don't want to go outside this afternoon.
"გამარჯობა, ნენსი ვარ.","Hello, I am Nancy."
"გამარჯობა, მე ვარ ნენსი.","Hello, I am Nancy."
სად იყავი წუხელ?,Where were you last night?
"გუშინ იყო კვირა, შაბათი კი არა.","Yesterday was Sunday, not Saturday."
არასოდეს არ ისმენს რისი თქმაც მინდა.,He never hears what I'm trying to say.
ჩვეს სკოლას ჯამში აქვს ოცდაოთხი კლასი.,Our school has twenty-four classes in all.
ჩვენი შეხვედრა შემთხვევითი იყო.,Our meeting was quite accidental.
საღამოს ჰავაიში მივდივართ.,We are leaving for Hawaii tonight.
არ ვიცი სიმართლეა თუ ტყუილი.,I don't know whether it is true or not.
შენ ჩემთვის ყველაფერი ხარ.,You are everything to me.
ჩემი სახლი ავტობუსის გაჩერებითან ახლოსაა.,My house is close to a bus stop.
მანქანა მყავს.,I have a car.
მე სტუდენტი ვარ.,I am a student.
მე მოსწავლე ვარ.,I am a student.
ვაშლის ტორტს ჭამა მინდა.,I want to eat apple pie.
მინდა შენთან ლაპარაკი.,I want to talk to you.
ამერიკაში წასვლა მინდა.,I want to go to America.
მინდა ამერიკაში წავიდე.,I want to go to America.
მე ვარ ჩოგბურთის კლუბში.,I'm in the tennis club.
მე შოკოლადი მომწონს.,I like chocolate.
მე ამ ტენის კლუბის წევრი ვარ.,I'm a member of the tennis club.
ერთი ძმა მყავს.,I have one brother.
იოკოჰამაში ვცხოვრობ.,I live in Yokohama.
მე ძალიან მომწონს ძაღლები.,I like dogs very much.
მინდა მასთან ლაპარაკი.,I want to talk to her.
"მე დავიღალე, და დაწოლა მინდა.",I am tired and I want to go to bed.
წიგნი მინდა.,I want a book.
"წიგნმა ""ჩამითრია"" და შენი ხმა ვერ გავიგე.",I was absorbed in a book and didn't hear you call.
ცხოვრება მინდა.,I want to live.
დავბრუნდები.,I'll come back.
მე მიყვარს ისტორიის სწავლა.,I like studying history.
წარმატება გამოცდებზე არაფერია მისთვის.,Success in exams doesn't mean a thing to her.
ხალხი ხშირად დიდებას მისდევს.,People usually go after fame.
ოდესმე სწავლობ ბიბლიოთეკაში?,Do you ever study in the library?
ოდესმე სწავლობთ ბიბლიოთეკაში?,Do you ever study in the library?
წყალბადის ატომური ნომერი 1-ა.,The atomic number for hydrogen is 1.
ოდესმე გიჭამია უმი თევზი?,Have you ever eaten raw fish?
გემი ნაპირის გასწვრივ იყო.,The ship was abreast of the shore.
ადრე ადექი თორემ სკოლაში დაგაგვიანდება.,"Get up early, else you'll be late for school."
არავინ არ უნდა მიატოვოს თავისი მეგობარი.,No one should desert his friends.
ამ ვაშლს ვისაც უნდა იმას მივცემ.,I'll give this apple to whoever wants it.
ამ ფესტივალზე შეგიძლია დაპატიჟო ყველა ვისაც მოუნდება.,You may invite to the festival whoever wants to come.
ცხენზე შემჯდარმა კაცმა ჩამოგვიარა.,A man on horseback came along the path.
ქოლგა მატარებელში დავტოვე.,I left my umbrella on the train.
რაც მან თქვა სიმართლისგან შორს იყო.,What he said was far from true.
ჩქარა დაბრუნდება.,He will come back soon.
ჩქარა ჩამოვა.,He will come down soon.
ის ჯერ კიდევ ახალგაზრდაა.,He is still young.
მასწავლებელი არის.,He is a teacher.
ფიქრებში დაიკარგა.,He is lost in thought.
მან თავი მოიკლა.,He committed suicide.
ალბათ თავისი ძველი მეგობრის სანახავად წავიდა.,He must have gone to see his old friend.
ორივეც კარგი მასწავლებლები არიან.,They are both good teachers.
ძალიან მხიარული არიან.,They are very cheerful.
მის კომპანიაში არასოდეს მოიწყენ.,You will never get bored in her company.
მას აქვს ბევრი ცხვირსახოცი.,She has many handkerchiefs.
პატარძალივით აცვია.,She is dressed like a bride.
მან თავის მოკვლა სცადა.,She attempted suicide.
მწუხარე ვარ.,I'm sad.
"სილამაზე რეკომენდაციის წერილია, რომლის იგნორირებაც თითქმის შეუძლებელია.",Beauty is a letter of recommendation which it is almost impossible to ignore.
ყინული დნება.,The ice is melting.
გავცივდი.,I've caught a cold.
შენ მე გიყვარვარ?,Do you love me?
გავცივდი.,I have a cold.
მე ვარ იგივე ნავში.,I'm in the same boat.
თვალები დახუჭე და ათამდე დაითვალე.,"Close your eyes, and count to ten."
წერილი ბარდება დღეში ერთხელ.,The mail is delivered once a day.
ჩემი გადაწყვეტილების საზღვარგარეთ სწავლის გაკვირვებული ჩემი მშობლები.,My decision to study abroad surprised my parents.
ჩაკეტილი ვიყავი! რაღაც ცუდი უნდა ხდებოდეს.,I was locked out! There's got to be something fishy going on.
"დღესდღეობით იაპონია მიდის თვითგანადგურების გზაზე, არა?","Present-day Japan is going down the route to self destruction, isn't it?"
შეგეცი!,Fuck you!
საღამო მშვიდობისა.,Good evening.
ბევრი მეგობარი მყავს.,I have many friends.
ამ ცხოველს იაპონურად რა ქვია?,What is this animal called in Japanese?
მობრძანდით,Come in.
არაფრის.,You're welcome.
"მე დავიფიცე, რომ არასოდეს აღარ დაველაპარაკები.",I vowed that I would never speak to her again.
პრეზერვატივი გააქვს?,Do you have any condoms?
მე ვეგეტარიანელი ვარ.,I am a vegetarian.
სადაური ხარ?,Where are you from?
სადაური ხართ?,Where are you from?
ისინი ჩემი დები არიან.,They are my sisters.
თქვენ მასწავლებელი ხართ თუ მოსწავლე?,Are you a teacher or a student?
თქვენ მასწავლებელი ხართ თუ სტუდენტი?,Are you a teacher or a student?
მე ნორვეგიადან ვარ.,I am from Norway.
როგორა ხარ?,How are you?
როგორ ბრძანდებით?,How are you?
როგორ ხართ?,How are you?
როგორ ხარ?,How are you?
გამარჯობა.,Hello!
გმადლობთ!,Thank you!
ლაპარაკობ ინგლისურად?,Do you speak English?
ინგლისურად ლაპარაკობ?,Do you speak English?
კიოტოში წასვლა მინდა.,I want to go to Kyoto.
ტოკიოში წასვლა მინდა.,I want to go to Tokyo.
გინდათ წასვლა?,Do you want to go?
გინდა წასვლა?,Do you want to go?
ეს წინადადებაა.,This is a sentence.
ეს არის წინადადება.,This is a sentence.
"ცოლი არ მინდა, გოგონა მინდა სექსისთვის.","It's not a wife that I want, but a sex friend."
რა გქვია?,What's your name?
რა გქვიათ?,What's your name?
"ჩემს მეგობარ გოგონასთან ანალური სექსის შემდეგ, როგორც წესი, კარგი შხაპის მიღება გვჭირდება ხოლმე.","After having anal sex with my girlfriend, we usually need to have a good wash."
ის ლამაზია.,She is beautiful.
"ერთი, ორი, სამი, ოთხი, ხუთი, ექვსი, შვიდი, რვა, ცხრა, ათი.","One, two, three, four, five, six, seven, eight, nine, ten."
როგორც იქნა შევხვდით! დიდხანს ველოდებოდი ამ დღეს!,At last we meet! I've waited so long for this day!
ის წერილს დაწერა.,He wrote a letter.
ფრანგულად ლაპარაკობ?,Do you speak French?
ფრანგულად ლაპარაკობთ?,Do you speak French?
წაეთრიე სკოლაში! შე ზარმაცო ნაბიჭვარო!,Go to school! You lazy bastard.
იდიოტო!,You idiot!
ტელევიზორი ჩართულია.,The TV's on.
მისი ლექციამ თავის დროზე დაიწყო.,His lecture started on time.
რასაკვირველია.,Of course.
არაბულად ლაპარაკობ?,Do you speak Arabic?
არაბულად ლაპარაკობთ?,Do you speak Arabic?
ჩინურად ლაპარაკობ?,Do you speak Chinese?
ჩინურად ლაპარაკობთ?,Do you speak Chinese?
აი თქვენი მენიუ.,Here is your menu.
რა ფერის იყო ჰენრი IV თეთრი ცხენი?,What colour was Henri IV's white horse?
გეთანხმებით.,I agree.
მე ვარ ჟურნალისტი.,I am a journalist.
მე ეგვიპტედან ვარ.,I am from Egypt.
მე რუსეთიდან ვარ.,I am from Russia.
რუსეთიდან ვარ.,I am from Russia.
მე შენ ძალიან მიყვარხარ.,I love you a lot.
წიგნი მინდა. სად არის წიგნის მაღაზია?,I want a book. Where is the bookstore?
მე აქ ვცხოვრობ.,I live here.
მადლობა!,Thanks!
თოვს.,It's snowing.
კარგი ლექსიკონი მინდა.,I want a good dictionary.
ორი ქალიშვილი მყავს.,I have two daughters.
მას ჯოკერი ყავს.,He's got a joker.
ამ ქუჩას რა ქვია?,What's this street called?
მე საავადმყოფოში ვმუშაობ.,I work in a hospital.
წვიმს.,It's raining.
ბაღში ბევრი წითელი ყვავილებია.,There are many red flowers in the garden.
კარგი იდეაა ყოფილი ხაკერების დაცვის პროფესიონალებად დანიშვნა?,Is it a good idea to hire former hackers to work as security professionals?
ეს არის ჩემი წიგნი.,This is my book.
ეს ჩემი წიგნია.,This is my book.
რა თქვი რა გქვია?,What did you say your name was?
მე სკოლაში მივდივარ.,I go to school.
კორეულს ვსწავლობ.,I study Korean.
ვესვრი!,I will shoot him.
შენ ეს ოთახი დასაძინებლად არ შეგეფერება.,This room is not suitable for sleeping.
ნახევარი საათი მოიცადე.,Please wait for thirty minutes.
ზოგადად რვა საათზე ვდგები.,I usually get up at eight o'clock.
სად არის ჩემი წიგნი?,Where is my book?
სადაა ჩემი წიგნი?,Where is my book?
უკაცრავად. თქვენ ის პიროვნება ხართ?,Excuse me. Are you that person?
მეგობრობის სადღეგრძელო დავლიოთ!,Cheers!
მატარებელი დროზე მოვიდა.,The train came on time.
სასიამოვნოა თქვენი გაცნობა.,Nice to meet you.
თქვენ შემდეგ.,After you.
სასტუმროში წასვლა მინდა.,I want to go to a hotel.
ჩემი დედა ენა ესპანურია.,My mother tongue is Spanish.
ჩემი დედა ენა არის ესპანური.,My mother tongue is Spanish.
ჩემი ვაჟიშვილი ჟურნალისტია.,My son is a journalist.
ეს წიგნი ჩემი არის.,This book is mine.
ეს წიგნი არის ჩემი.,This book is mine.
ეს წიგნი ჩემია.,This book is mine.
