georgian,english
ორი კვირის წინ მე პირველად დისნეილენდს ვიყავი.,"Two weeks ago, I visited Disneyland for the first time."
ერევანი.,Yerevan.
სლოვაკეთში.,Slovakia.
ვუჰანის.,Wuhan.
აი შენი ძაღლი.,Here is your dog.
საფრანგეთს.,France.
ექსპერტი მრჩეველი.,Expert Advisor.
მან გადაწყვიტა ბელგიაში გადასვლა.,She decided to move to Belgium.
საბჭო.,Council.
ნინო ლომჯარიამ.,Nino Lomjaria.
ტაჯიკეთის.,Tajikistan.
ევროკომისია.,European Commission.
ხმელთაშუა.,Mediterranean.
ჰარვარდის.,Harvard.
საქართველოს.,Georgia.
ახალი მაღაზია მომავალ კვირას გაიხსნება.,The new store is going to open next week.
სამდივნოს.,Secretariat.
უელსი.,Wales.
მე იქ ლამაზი ჩანჩქერი დავინახე.,I saw a beautiful waterfall there.
ვინ რას ყიდულობს?,Who is buying what?
გეთაყვა ნიღაბი ატარო.,Please wear a mask.
იაპონური.,Japanese.
საშაქრე ცარიელია.,The sugar canister is empty.
გინდა პინტა?,Would you like a pint?
თურქულად ლაპარაკობთ?,Do you speak Turkish?
ორთაჭალაში.,Ortachala.
წვიმს.,It's raining.
ამ ქალაქში არ ვცხოვრობ.,I don't live in this city.
კავკასიის საერთაშორისო უნივერსიტეტი.,Caucasus International University.
ალექსანდრე პუშკინი.,Alexander Pushkin.
ჩემი ბიძაშვილი ჟურნალისტია.,My cousin is a journalist.
იესომ.,Jesus.
პატარძალივით აცვია.,She is dressed like a bride.
სახალხო დამცველმა.,The Public Defender.
ავღანეთი.,Afghanistan.
საიტის.,Site.
ლომი ჯუნგლის მეფეა.,The lion is the king of the jungle.
ქვემო ქართლში.,Kvemo Kartli.
"ჩემს მეგობარ გოგონასთან ანალური სექსის შემდეგ, როგორც წესი, კარგი შხაპის მიღება გვჭირდება ხოლმე.","After having anal sex with my girlfriend, we usually need to have a good wash."
სამი საათია.,It's three o'clock.
წიგნი მინდა. სად არის წიგნის მაღაზია?,I want a book. Where is the bookstore?
თბილისის საერთაშორისო კინოფესტივალის.,Tbilisi International Film Festival.
ავსტრია.,Austria.
მარიამი ტომის დედაა?,Is Mary Tom's mother?
მე ამერიკელი ვარ.,I come from America.
ეგვიპტეში ვარ.,I'm in Egypt.
კომიტეტის.,Committee.
ევროკავშირისა.,the European Union.
კავკასიის საერთაშორისო უნივერსიტეტში.,Caucasus International University.
ჟენევაში.,Geneva.
ცენტრალური ხელისუფლების.,the Central Government.
მალაიზიაში.,Malaysia.
არაბულად ლაპარაკობ?,Do you speak Arabic?
სინგაპურის.,Singapore.
დონალდ ტრამპის.,Donald Trump.
სასამართლოს.,Court.
ის დამაინტრიგებელია.,That is intriguing.
ევროკავშირს.,EU.
Wi - Fi.,Wi - Fi.
ლობიოები მძულს.,I hate beans.
მე მოგიტან შენ.,I'll bring you.
ჰოლანდიაში.,Holland.
რას მიყურებ?,What are you going to watch?
პეტრეს.,Peter.
ოლიმპიური.,Olympic.
მას აქვს ბევრი ცხვირსახოცი.,She has many handkerchiefs.
ბავშვი წავიყვანე.,I took the child.
ევროპოლის.,Europol.
ეს ჩემი წიგნია.,This is my book.
წლის ელექტროენერგეტიკული ბაზრის ოპერატორმა „ელექტროენერგიის.,the Electricity Market Operator.
რუსულ.,Russian.
ილაპარაკე იტალიურად!,Speak Italian!
სამხრეთ კავკასიაში.,South Caucasus.
მე ბანკში ვმუშაობ.,I work in a bank.
რძეს ვსვამ.,I'm drinking milk.
მოვალ შემდეგი ავტობუსით.,I'll come by the next bus.
